Warrior,Warrior,Warrior是一个英文单词，意思是战士，勇士；鼓吹战争的人。
我喜欢,我喜欢,周蕙歌曲：我喜欢周蕙歌曲：我喜欢梁静茹歌曲：我喜欢四大天王歌曲：我喜欢
千越,千越,《千越》是连载于起点中文网的仙侠异侠小说，作者是林流毅。
AVS,avs,AVS是我国具备自主知识产权的第二代信源编码标准，是《信息技术先进音视频编码》系列标准的简称，其包括系统、视频、音频、数字版权管理等四个主要技术标准和符合性测试等支撑标准。
耀星,耀星,耀星是指一种变星，它的亮度常有不可预测的巨大变化，有时在几分钟内的改变会大于几个星等以上，并持续几分钟到几小时后又慢慢复原，这种亮度变化的原因是来自于恒星表面色球层上大规模的耀斑爆发造成的，变化的光谱范围很宽，跨无线电波到x光。在太阳也能观测到这种耀斑，只是能量规模没有那么大。
光胜,光胜,光胜1967年生于上海，毕业于安徽师范大学美术系。现为安徽省美术家协会会员，安徽省工笔学会理事，淮河画院秘书长，蚌埠市美术家协会主席团主席兼秘书长，蚌埠市青年美术家协会执行主席，蚌埠市文学艺术创作研究所专职画家。作品曾在安徽日报、安徽青年报、上海文化艺术报、新民晚报。申江服务导报、杭州日报、中国劳动日报等发表。作品销入日本、台湾、香港、新加坡、澳大利亚等地。
Miu,miu,Miu是中国一款在浏览器上就可以玩的MMORPG（多人线上角色扮演）游戏产品，你可以将你变成强力的战士，可以将它训练成威力强大的法师，或者速度敏捷的游侠，或者妙手回春的牧师。
大井,大井,大井位于茨坪西北面七公里处，革命历史参观点有毛泽东同志旧居，红军医务所旧址等。
CEO,首席执行官,首席执行官为一种高级职务名称。在经济组织机构中，首席执行官（ChiefExecutiveOfficer，缩写CEO）是在一个企业中负责日常事务的最高行政官员，又称作行政总裁、总经理或最高执行长。在政治组织机构中，首席执行官为政府首脑，相当于部长会议主席、总理、首相、阁揆、行政院院长、政府主席等级别的行政事务最高负责高官。
绿世界,绿世界,绿世界，是海南绿世界化妆品有限公司旗下化妆品牌。公司创立以来，先后开发并成功推向市场的系列产品有：绿世界晚露、仙人掌、椰子、鹿茸（海南特有坡鹿）、海洋（南海深海泥）、火山泉、珍珠（南海珍珠）、中药汉方（南药）八大系列100多个产品。其中“绿世界晚露”为中国第一支水剂化妆品、并以倡导“养颜在晚间”而迅速获得广大消费者认同，被中央芭蕾舞团指定为专用产品；“仙人掌洗面奶”以仙人掌内含青春激活素（kinetin）而具有清凉、保温、温和、不过敏等特点，曾荣登我国洗面奶的销售量榜首。
森吉,森吉,2008年1月在坦桑尼亚北部的Udzungwa山上发现了这种新的森吉(sengi，象鼩 )物种，它是已知最大的一种。该物种属于小型哺乳动物，捕食昆虫，四肢位于身体正下方，后肢比前肢长并且向后弯曲，行动速度极快，有记忆特殊地形能力。
文燕,刘文燕,刘文燕，女，1968年12月8日出生，河北人，北京电视台节目主持人，主持公益栏目《真情互动》（更名为《真情》）栏目。该节目每集介绍一个弱势人物，呼吁社会给弱势群体关怀。文燕也因此工作被评为“慈善之星”、“北京市扶危助残先进个人”、“北京市残奥会无障碍形象大使”等，并获得“全国百佳电视艺术工作者”、“北京市十佳电视艺术工作者”“金话筒”等多项称号。
宝殿,宝殿,
爱丽思,爱丽思,爱丽思是由爱丽思欧雅玛株式会社公司申注册所有。 总部位于日本宫城县仙台市青叶区五桥2丁目12番1号。 
纳川,纳川,纳川（琥珀酸舒马普坦胶囊），适应症为用于成人有先兆或无先兆偏头痛的急性发作。
浩铭,浩铭,商国庆，节目主持人，目前就职于信阳FM92.0车行天下汽车电台，曾主持节目出行晚高峰，大家帮大家的《一路领先》，《你的故事我的歌》通过讲述发生在我们生活中的故事同大家一起分享幸福和感动，一起思考和探导生活的真谛。曾于2011年3月在吉林农安人民广播电台主持《一路畅通》，阳光、帅气的外表更容易让大家记住这个哈尔滨小伙子。
百露,百露,百露是专业从事高品味的种生活品牌，具特色生活用品的品牌，所有产品都人性化设计，从人们日常生活出发，以为生活提供更多方便为目标，生产各类便利收纳产品。是国内最早提供便利收纳用品专业生产厂商之一。
琼华,琼华派,琼华派，系列单机游戏《仙剑奇侠传》门派之一，出现于《仙剑奇侠传四》。地处昆仑山的修仙门派，乃昆仑八派之一，其它七派是（昆仑、碧玉、紫翠、悬圃、玉英、阆风、天墉）。与蜀山仙剑派、蓬莱派同为人界修仙大派。琼华一派信奉九天玄女，素以铸剑秘术为尊，集三代长老毕生心血铸就“望舒”、“羲和”。修仙之法讲究“人剑合一”，凭借三尺青锋，除妖荡魔，为方圆百姓敬仰。 后因逆天飞升触怒天帝，而遭天火焚烧，琼华派就此覆灭。
游牧人,游牧人,品牌密码出身箱包制版世家的JASONLEE受到家族生意影响，从小对箱包制造工艺耳濡目染。孩童时候，他就有一个雄壮梦想：长大以后，全世界人都能背上我设计的箱包。小JASON慢慢成长，家族的事业也不断发展壮大。18岁这年，JASON在美术学院修学。在大学期间，JASON游走欧美国家。每次的旅程，都让他深刻的感受到国内的箱包设计及制包工艺跟欧美国家相比，还有很大的差距。
阿狸,九尾妖狐,九尾妖狐·阿狸是电子游戏《英雄联盟》中的英雄之一，是S2为了庆祝韩服开服而登场的英雄。九尾妖狐是一个高技能伤害的英雄，她可以不断在团战边缘游走并且凭借自己短CD的技能持续输出伤害。 并且漂亮的法师型刺客，声音甜美销魂，身材苗条性感，是造型控的首选之一。
伽马,达·伽马,达·伽马（约1469—1524年12月24日，葡萄牙语：VascodaGama），出生于葡萄牙锡尼什，葡萄牙航海家、探险家，从欧洲绕好望角到印度航海路线的开拓者。青年时代的达·伽马参加过葡萄牙与西班牙的战争，后到葡宫廷任职。1497年7月8日受葡萄牙国王派遣，率船从里斯本出发，寻找通向印度的海上航路，船经加那利群岛，绕好望角，经莫桑比克等地，于1498年5月20日到达印度西南部卡利卡特。同年秋离开印度，于1499年9月9日回到里斯本。伽马在1502～1503年和1524年又两次到印度，后一次被任命为印度总督。伽马通航印度，促进了欧亚贸易的发展。在1869年苏伊士运河通航前，欧洲对印度洋沿岸各国和中国的贸易，主要通过这条航路。这条航路的通航也是葡萄牙和欧洲其他国家在亚洲从事殖民活动的开端。1524年，达·伽马在印度科钦去世，享年53岁。
宇灵,宇灵,《宇灵》是一部连载于起点中文网的小说，作者是翟月。
Orrefors,Orrefors,与KostaBoda水晶的时尚、独特个性不同，瑞典另一水晶艺术品牌Orrefors是最具艺术性与收藏价值的水晶品牌之一。成立于1898年，至今为止，Orrefors水晶已经有一百零八年的悠久历史。而它的“黑松鸡”标志已成为当今世界最著名的商标之一。追溯起源，瑞典Orrefors水晶工厂是在一座铸铁厂厂房的基础上发展起来的。当时，铸铁业效益每况愈下，而树木的重要性日益凸显。水晶工业可以充分利用废弃的木料，瑞典Orrefors水晶的创立同时为一个崭新的时代就此拉开帷幕。
金碧,金碧,金碧，中国画颜料中的泥金、石青和石绿。凡用这三种颜料作为主色的山水画，称“金碧山水”，比“青绿山水”多泥金一色。
哥特,哥特人,哥特人（Goths）（200年～714年）也译作哥德人，是东日耳曼人部落的一支分支部族，从2世纪开始定居在斯基泰、达契亚、外潘诺尼亚与黑海北岸的乌克兰大草原。5到6世纪时，德涅斯特河划分了他们，河东的叫东哥特人，河西的叫西哥特人。410年，日耳曼的西哥特人在领袖阿拉里克率领下，进入意大利，围攻罗马城。在城内奴隶的配合下打开城门，掠夺而去，此后哥特人在西罗马帝国境内 建立西哥特王国（位于高卢西南部和西班牙、卢西塔尼亚）和东哥特王国（位于意大利和克罗地亚）。
幸福派对,幸福派对,
杉本,杉本,杉本是全球MRO综合服务商，从事国内贸易，代理国内外5，00000余种知名工业品牌的产品，服务企业、工厂、以及个人用户，为各类企业及代理商做好查询、询价、报价、订货和分销全配套服务。
乐家巢,乐家巢,湖南乐家巢家具有限公司成立于2010年10月，注册资金1800万元，是中国第一家规模最大全球采购+仓储销售+网络推广家具连锁平台。截止到2014年12月，乐家巢已拥有长沙5家连锁店，2014年11月，乐家巢家具苏州蠡口店开业。乐家巢率先在家具行业提出O2O网络营销模式，并用全球采购和仓储低成本的销售模式，结合网络推广获得了巨大成功。乐家巢汇聚全球最时尚家具，品牌涵盖全球一百多个供应商，上万个种类，全部家具以及饰品均为现货，明码实价销售。其产品风格多样，如美式、田园、乡村、现代、欧式、新古典、地中海等等.乐家巢自始至终坚持的使命是：家具国际化，价格平民化，为消费者代言。
凡马,凡马,凡马，即指普通的马。
GIA,gia,GIA是政府信息化架构的简称（GovernmentInformationArchitecture）。
典凝,典凝,典凝，汉语成语，读音为diǎnníng，意思是坚韧镇定，出自《诸子平议·淮南内篇三》。
内野,内野,自创业以来，从包括毛巾在内的浴用产品，到关于入浴时间的理念和享受方式等各个方面，内野始终都在思考着如何满足顾客需求的问题，并以坚定的信念从事着所有企业经营活动。
清风阁,清风阁,清风阁位于安徽省合肥市包公园内，是一组集纪念、展示、游览、休闲为一体的大型仿宋综合性建筑群，是1999年为纪念包拯诞辰1000周年，弘扬包公精神，宣传安徽悠久历史文化而建造的。合肥市人民政府修建清风阁，阁高42米，建筑面积1700平方米，明五层，暗四层，为仿宋式建筑。
瓷王,瓷王,《瓷王》为著名网络作家格鱼的网络处女作，题材取自两宋元明时期，字数一百一十万，点击逾三百万，推荐逾十三万，可谓是一炮走红。主要讲述一个现代工艺美术师回到明初成为瓷王，进而使大明陶瓷琉璃工业发展到高峰的故事。
MI,熔融指数,熔融指数是一种表示塑胶材料加工时的流动性的数值。它是美国量测标准协会(ASTM)根据美国杜邦公司惯用的鉴定塑料特性的方法制定而成，其测试方法是先让塑料粒在一定时间（10分钟）内、一定温度及压力（各种材料标准不同）下，融化成塑料流体，然后通过一直径为2.095mm圆管所流出的克（g）数。其值越大，表示该塑胶材料的加工流动性越佳，反之则越差。
极体,极体,极体是指一个大型的单倍体卵细胞和2～3个小型的细胞。当第一次成熟（减数）分裂时，形成一个大的次级卵母细胞和一个小的第一极体；第二次成熟分裂时，同样产生一个小的第二极体。第一极体通常不分裂形成两个极体。初形成的极体位于卵的动物极，极体内细胞质极少，缺乏营养物质，很快即退化消失，从而保证卵细胞内大量胞质的贮备，以供早期胚胎发育的需要。
维肌泉,维肌泉,维肌泉（SKINVITALS），2005年3月，由日本化妆品生产巨头TokiwaCorporation和RedEarth创始人StevenKo联合设立BeautyDirectGroup。
THOMAS&FRIENDS,托马斯和朋友,《托马斯&朋友》的版权拥有者，HIT娱乐有限公司亚洲区总经理弗兰克·福雷介绍说，托马斯最早出现在由英国牧师瑞福·奥德瑞在1945年创作的《铁路系列》故事中，这个拟人化的蓝色蒸汽小火车和他一群个性迥异的火车朋友们居住在一个名叫“多多”的岛上，一同冒险，一同成长。
美商,美丽商数,美商（BQ），全称美丽商数（BeautyQuotient），并不是指一个人的漂亮程度，而是一个人对自身形象的关注程度，对美学和美感的理解力，甚至包括一个人在社交中对声音、仪态、言行、礼节等一切涉及到个人外在形象的因素的控制能力。BQ是继IQ、EQ、AQ之后新兴的重要竞争力，对于从事服务行业的工作者来说，自我行销技能是在高度竞争环境中的致胜关键，而外型包装的功夫正是其中重要一环。
柠檬日记,柠檬日记,画之《柠檬日记》是《可爱漫妮》一书上的漫一。
国米,国际米兰足球俱乐部,国际米兰足球俱乐部（FootballClubInternazionaleMilano，简称inter）是一家位于意大利北部伦巴地区米兰市的足球俱乐部，成立于1908年3月9日，现征战于意大利足球甲级联赛。国际米兰的成立来自于“米兰板球与足球俱乐部”（即现在的AC米兰俱乐部）的一部分会员分流出来后成立国际米兰。球衣由蓝色和黑色两种主要颜色组成。因为俱乐部成立之初即向全世界所有球员敞开大门，所以称之为“国际”俱乐部。国际米兰曾为“意甲七姐妹”之一，也与AC米兰和尤文图斯两支球队并称为北方三强。与AC米兰这支同样来自米兰的俱乐部之间的碰撞被称为“米兰德比”，和来自都灵的尤文图斯之间的对决则称为“意大利国家德比”。国际米兰是唯一一支拿过五冠王（欧冠、意甲、意大利杯、意大利超级杯和世界俱乐部杯）的意大利联赛球队 。2016年6月7日，苏宁集团董事长张近东在南京宣布旗下苏宁体育产业集团以约2.63亿欧元的总对价，通过认购新股和收购老股的方式，获得意大利国际米兰足球俱乐部68.55%的股份 。
JOYJULY,Joyjuly,
华为,华为技术有限公司,华为技术有限公司是一家生产销售通信设备的民营通信科技公司，于1987年正式注册成立，总部位于中国深圳市龙岗区坂田华为基地。 华为是全球领先的信息与通信技术（ICT）解决方案供应商，专注于ICT领域，坚持稳健经营、持续创新、开放合作，在电信运营商、企业、终端和云计算等领域构筑了端到端的解决方案优势，为运营商客户、企业客户和消费者提供有竞争力的ICT解决方案、产品和服务，并致力于使能未来信息社会、构建更美好的全联接世界。2013年，华为首超全球第一大电信设备商爱立信，排名《财富》世界500强第315位。截至2016年底，华为有17万多名员工，华为的产品和解决方案已经应用于全球170多个国家，服务全球运营商50强中的45家及全球1/3的人口。2016年8月，全国工商联发布“2016中国民营企业500强”榜单，华为以3950.09亿元的年营业收入成为500强榜首。 8月，华为在"2016中国企业500强"中排名第27位。 2017年6月6日，《2017年BrandZ最具价值全球品牌100强》公布，华为名列第49位。 2017年6月30日，华为技术有限公司荣获中国商标金奖的马德里商标国际注册特别奖。 美国《财富》杂志发布了最新一期的世界500强名单。华为以785.108亿美元营业收入首次打入前百强，排名第83位，较上一年的第129位提升46位。 2018年2月23日，沃达丰和华为完成首次5G通话测试。 2018年2月27日，FraunhoferIIS与华为签署了一项MPEG-4音频专利组合的全球许可协议。 
创想,创想,创想是什么？创想是传统的叛逆；是打破常规的哲学；是大智大勇的同义；是导引递进升华的圣圈；是一种智能拓展；是一种文化底蕴；是一种闪光的震撼；
欧斯诺,欧斯诺,ORZIL/联邦欧斯诺品牌专注于精英皮鞋，形成个性鲜明，定位清晰的商务时尚休闲品牌，对品质质量精益求精，选料上乘，做工精良，深受消费者信赖和推崇。
悦享,悦享,“悦享”由时尚星光（北京）传媒股份有限公司出品，一款“时尚生活方式短视频日报+一健式购买T2O应用”
BRIC,金砖国家,“金砖五国”（BRICS）引用了俄罗斯（Russia）、中国（China）、巴西（Brazil）、印度（India）和南非（SouthAfrica）的英文首字母。由于该词与英语单词的砖（Brick）类似，因此被称为“金砖五国”。2001年，美国高盛公司首席经济师吉姆·奥尼尔（JimO'Neill）首次提出“金砖四国”这一概念，特指新兴市场投资代表2008年-2009年，相关国家举行系列会谈和建立峰会机制，拓展为国际政治实体。2010年南非（SouthAfrica）加入后，其英文单词变为“BRICS”，并改称为“金砖国家”。金砖国家的标志是五国国旗的代表颜色做条状围成的圆形，象征着“金砖国家”的合作，团结。2015年1月1日，俄罗斯开始担任金砖国家机制轮值主席国。俄总统普京表示，将利用主席国身份进一步提高金砖国家在世界范围的影响力。2016年2月15日，印度正式接任金砖国家（BRICS）主席国，任期将持续到12月31日。史瓦拉吉说道：“印度在担任主席国期间，将组织50多场不同级别的会议。2017年1月1日，中国正式接任金砖国家主席国。习近平主席对今年9月在福建厦门举办的金砖国家领导人第九次会晤提出四点期待：深化务实合作，促进共同发展；加强全球治理，共同应对挑战；开展人文交流，夯实民意基础；推进机制建设，构建更广泛伙伴关系。2017年12月，金砖国家入选“2017年度中国媒体十大流行语”。 
杨柳岸,杨柳岸,杨柳岸网络文学创办于2008年5月，经过多年的发展已初具规模。杨柳岸网络文学网站创办的初衷是为了服务于广大原创文学作者，为文学爱好者提供一个纯净的，优雅的，集网络文学创作投稿、在线阅读于一体的文学互动交流平台。您可以登录杨柳岸文学网站欣赏美文、以文会友、在线投稿、申请编辑以及互动点评。
RBT,注册行为技术员,注册行为技术员（RBT）是“行为分析师认证委员会（BACB）”所推出的认证机制，BACB是美国在应用行为分析技术（ABA）方面最权威的标准制定机构，旨在对使用应用行为分析技术从事自闭症等特殊教育领域行业的从业者进行上岗资质确定。注册行为技术员（RBT）主要负责直接实施行为分析服务，不涉及干预或评估计划。 
贝蒂娜,贝蒂娜,贝蒂娜BettinaBeauty是德国品牌。是一家现代化的、可靠的化妆品公司。SC是德国生产护发、身阼护理和香水产品的最大厂家之一，其分公司已遍布世界70多个国家，气味是可以在人的记忆中保甾最久的东西！采用天然植物配方，蕴含独特香水成分，用后令您飮发出欧洲风愔的迷人淡淡幽香，且香味持久达8小时，常用可转为体香。SC是欧盟第二大化妆品生产集团，旗下产品门类齐全，尤其以各种时尚的、透着名贵香水气味的、高品质沐浴和润肤产品而闻名。
EAST,全超导托卡马克核聚变实验装置,全超导托卡马克核聚变实验装置装置，其运行原理就是在装置的真空室内加入少量氢的同位素氘或氚，通过类似变压器的原理使其产生等离子体，然后提高其密度、温度使其发生聚变反应，反应过程中会产生巨大的能量。2009年，世界上首个全超导非圆截面托卡马克核聚变实验装置（EAST）首轮物理放电实验取得成功，标志着我国站在了世界核聚变研究的前端。2016年2月，中国EAST物理实验获重大突破，实现在国际上电子温度达到5000万度持续时间最长的等离子体放电。 
芭比,芭比,芭比诞生于1959年3月9日，是露丝·汉德勒创造的“虚拟人物” ，最初只是一个金发玩具娃娃，随着社会和文化变迁不断推出新的品种，并衍生了家具、手机等，它成为一个品牌甚至文化现象。2002年，芭比娃娃的创造者露丝·汉德勒去世， 芭比出现于各种电视电影里，电影版芭比娃娃由环球影业发行，芭比娃娃和男朋友肯也出现在了2010年的迪士尼动画《玩具总动员3》里。 
兰亭集势,兰亭集势,兰亭集势（Lightinthebox）是中国整合了供应链服务的在线B2C（内部叫做L2CLightInTheBox2Customer），该公司拥有一系列的供应商，并拥有自己的数据仓库和长期的物流合作伙伴，截止到2010年兰亭集势是中国跨境电子商务平台的领头羊。2010年6月，兰亭集势完成对3C电子商务欧酷网的收购。兰亭集势成立于2007年，注册资金300万美元，是目前国内排名第一的外贸销售网站。公司成立之初即获得美国硅谷和中国著名风险投资公司的注资，成立高新技术企业，总部设在北京，在北京、上海、深圳共有1000多名员工。兰亭集势在全球所有网站中排名1，624（Alexa排名1833，）(2013年11月数据)，网站用户来自200多个国家，日均国外客户访问量超过100万，访问页面超过200万个。网站已经拥有来自世界各地的注册客户数千万人，累计发货目的地国家多达200个，遍布北美洲、亚洲、西欧、中东、南美洲和非洲。公司也因此荣获Paypal“2008年度最佳创新公司奖”等殊荣。招股书显示，兰亭集势2012年净营收为2亿美元，净亏损达到233万美元。在线零售商兰亭集势(NYSE：LITB)在2013年6月6日（周四）晚间在美国纽交所挂牌上市，截至当日美股收盘，兰亭集势大涨2.11美元，报收于11.61美元，与IPO发行价9.5美元相比，涨幅达22.21%。
永胜,永胜县,永胜县是云南省丽江市下辖县之一，县境位于云南省西北部，地处长江上游，丽江市中部，县城永北镇。截止到2008年，永胜县辖5个镇、10个乡（其中7个民族乡）。永胜县2010年总人口为392024人 ，2012年地方生产总值为44.8亿元。永胜物产丰富，素有“滇西北粮仓”、“鱼米之乡”之称。水稻、甘蔗、烤烟、花生为主要作物，永胜程海以盛产天然藻类蛋白而著名，程海螺旋藻被列入云南省政府“18生物开发工程”重点项目。永胜县旅游景点有程海、灵源箐、羊坪水库、毛氏宗祠、丽江边屯博物馆、三川土林、红石崖古地震遗址、翠湖、他留坟林等 。
韩燕,韩燕,韩燕，1988年11月21日出生于上海，毕业于上海戏剧学院，中国内地女演员。6岁开始练习芭蕾，多次随代表团出国访问演出。2014年5月在上海拍摄都市青春励志电影《菜鸟》出演剧中女二刘佳合作演员台湾柯有伦、韩国崔允素。
欧风花都,欧风花都,欧风花都由上海农工商房地产（集团）有限公司开发建设，获全国人居经典综合大奖和优秀环境住宅设计大赛综合金奖。小区建筑面积约180000平方米，其中多层住宅28幢小高层住宅16幢，具有浓郁的欧洲住宅区风情。小区绿化率为50%以上，中央有中庭花园广场，四周配有景观小品，营造出浓厚的花园风景。
奥朵家饰,奥朵家饰,奥朵家饰是一家专业的家居饰品整体方案供应商。通过营造实景式生活空间，诠释美好生活内涵；通过便捷的网络和遍布各地的加盟店提供便捷、愉悦的购物体验。
法恩莎,法恩莎卫浴,法恩莎卫浴是一种卫浴品牌。法恩莎是意大利一个盛产陶瓷的著名小镇这里出产的陶瓷透出一股唯美、优雅、艺术的气息。20世纪初，与毕加索齐名的现代派画家马蒂斯（Matisse）到意大利陶瓷之乡法恩莎游历，寻求艺术灵感，在一次漫无目的的街头漫步之际，神秘邂逅一位美丽的少女，为少女的美深深打动，在巨大的创造灵感和热情的推动下，意大利设计师创作了一幅极具魅力神韵的作品，并将其命名为《法恩莎少女》，一时间《法恩莎少女》唯美优雅的艺术风格轰动了整个艺术界，法恩莎品牌由此孕育而生。
百轮,百轮,百轮BirdRoom 品牌创立于2015年，为广州荣天环保科技有限公司旗下自主品牌 。主营除甲醛祛异味型微生物清洁产品百轮BirdRoom生物酶系列及母婴清洁洗护产品。 荣天环保根据家居、办公、汽车等不同场所的环境需求，在环保、装修、清洁等行业推出各种生物酶应用技术，产品品种迭代更新，为消费者缔造健康美好生活 。
Honeywell,霍尼韦尔,霍尼韦尔国际（HoneywellInternational）是一家营业额达300多亿美元的多元化高科技和制造企业，在全球，其业务涉及：航空产品和服务、楼宇、家庭和工业控制技术、汽车产品、涡轮增压器以及特殊材料。霍尼韦尔公司总部位于美国新泽西州莫里斯镇。霍尼韦尔是一家国际性从事自控产品开发及生产的公司，公司成立于一八八五年，有超过百年历史的国际公司，一九九六年，被美国"财富"杂志评为最受推崇的20家高科技企业之一。是一家销售额为333.7亿美元(2011年度)，在多元化技术和制造业方面占世界领导地位的跨国公司（500强排名280位）。宗旨是以增加舒适感，提高生产力，节省能源，保护环境，保障使用者生命及财产从而达到互利增长为目的。为全球的楼宇，工业，航天及航空市场的客户服务。霍尼韦尔国际公司是一个拥有多元化制造技术的领导者，服务于世界各地的客户，包括航天产品及服务、工业和家庭楼宇控制技术、汽车产品、涡轮增压器以及特种材料。霍尼韦尔在全球100多个国家/地区拥有116000员工，以满足客户，力争成为世界自控先驱，从而实现互利增长的目标。2017年6月7日，2017年《财富》美国500强排行榜发布，霍尼韦尔排名第73位。 
菱之花,菱之花,北京菱之花环保科技有限公司，日本三菱DiaCoat光触媒株式会社，（日本财团法人，日本劳荣协会）授权中国国内唯一指定代理公司，是一家专门从事室内外环境、空气检测治理、环保产品销售于一体的高科技环保企业。
万磊,万磊,万磊，男，中华人民共和国公民，现今通俗流行唱法导师。
多样屋,多样屋,多样屋领导家居流行，创造生活时尚的TAYOHYA多样屋家居用品生活馆，主营厨房餐具、卫浴、床上居家摆设等系列产品。
Hello Kitty,hello kitty,HelloKitty（日语：ハローキティ；拉丁写法：Harōkiti）日本著名动漫萌星，市面的中文译名有堤提猫、凯蒂猫、凯迪猫、吉蒂猫等名。另外，由于HelloKitty没有嘴巴，在网络上亦有无口猫、无嘴猫的别名。她有这样一个故事。有一只小猫，有嘴巴（作者已经表示有嘴巴了），脸蛋圆圆的，左耳上扎着一个蝴蝶结，还有一截小尾巴，她的名字叫堤提猫（HelloKitty），凯蒂猫、吉蒂猫或无嘴猫。Kitty猫诞生于1974年，日本著名卡通萌星。她是个英国人，名叫凯蒂·怀特（KittyWhite），天蝎座，三年级，有只叫CharmmyKitty的宠物猫，还有个双胞胎姐妹。 
KAO,kao,
蓝色岛屿,蓝色岛屿,《蓝色岛屿》是连载在新浪读书的小说，作者是米梦云。
冰虫,冰虫,冰虫是分布在寒冷冰川中的一种环节动物。终年生活在冰雪中，其生存机理仍然不十分明确。因为冰虫的奇特生态环境，对于研究寒冷状态下的生命活动有重要意义。冰虫研究正获得越来越多的关注。本位将主要介绍冰虫的生活环境、生活习性、形态分类、生理生化特点等方面。由于冰虫本身仍然有不少谜团，仍需广大学者广泛研究。
罗莱,罗莱,罗莱是一家专业经营纺织品的企业，集研发、设计、生产、销售于一体，是中国最早涉足家用纺织品行业，并形成自己独特风格的家纺企业。
肖邦,弗里德里克·肖邦,弗里德里克·弗朗索瓦·肖邦（F.F.Chopin，1810年—1849年），19世纪波兰作曲家、钢琴家。1810年，肖邦出生于波兰；1817年开始创作；1818年登台演出；1822年至1829年在华沙国家音乐高等学校学习作曲和音乐理论。1829年起以作曲家和钢琴家的身份在欧洲巡演。后因华沙起义失败而定居巴黎，从事教学和创作。1849年，肖邦因肺结核逝世于巴黎。 肖邦是历史上最具影响力和最受欢迎的钢琴作曲家之一，是波兰音乐史上最重要的人物之一，欧洲19世纪浪漫主义音乐的代表人物。他的作品以波兰民间歌舞为基础，同时又深受巴赫影响，多以钢琴曲为主，被誉为“浪漫主义钢琴诗人”。 
宫庭,宫庭,宫庭，通常写做宫廷，是封建帝王居住的地方。古代宫廷的设计，一般分为前后两部分：前面是皇帝处理朝政的地方，后面是帝王、后妃们居住的地方。皇宫中的主要宫殿都建在一条南北中轴线上，两侧的建筑整齐而对称。重重院落，层层殿堂，展示了皇宫的齐整、庄严和浩大。 
优爵,优爵,优爵，ULTRA-PETCOMPLETE，美国宠物食品专注品牌。美国斯米尔宠物食品公司旗下的天然健康之宠物食品品牌，始创于1994年。
春意,春意,春意，指春天的气象。语出南朝梁江淹《卧疾愁别刘长史》诗：“始怀未回叹，春意秋方惊。”
阿西娜,雅典娜,雅典娜（希腊语：Ἀθήνη、英语：Athena），也称帕拉斯·雅典娜，是古希腊神话中的智慧女神，奥林匹斯十二主神之一。 同时也是艺术女神、纺纱工艺的女神。密教祷歌称她为“创始艺术的”。她传授纺织、园艺、陶艺、畜牧等技艺，绘画、雕塑、音乐等艺术给人类。 她亦是军事策略的女神。航海、农业、医疗的保护神。法庭、秩序的女神，她创立人类的第一座法庭。 雅典娜与赫斯提亚、阿尔忒弥斯被视为奥林匹斯山上的三位一体处女神。初民最早把她作为霁色初开的境界崇拜，代表处女和纯洁的光明。 雅典娜是宙斯和智慧女神墨提斯（“Μῆτις”意为智慧的，睿智的）的女儿，她是波洛斯的同母姊妹。盖亚和乌拉诺斯预言，墨提斯生下明眸女儿后，会再生一个推翻宙斯的儿子（波洛斯），宙斯惧怕预言成真，遂将墨提斯整个吞入腹中。此后宙斯严重头痛，阿波罗对他医治无效，宙斯只好要求火神赫菲斯托斯打开他的头颅（或普罗米修斯或赫尔墨斯），火神那样做了。令诸神惊讶的是：一位体态婀娜、披坚执锐的美丽女神从裂开的头颅中跳了出来，光彩照人，仪态万方。 
Geran,GERAN,GERAN是GSM/EDGE无线接入网，它采用了EDGE的无线传输技术，网络组成与GPRS相同。EDGE的目的是为了在现有蜂窝系统中提供更高的数据速率。
力拓,力拓集团,力拓集团（RioTintoGroup），西班牙文“RioTinto”。力拓集团1873年成立于西班牙，集团总部在英国，澳洲总部在墨尔本。1954年，力拓集团出售大部分西班牙业务。1962年至1997年，兼并了全球数家有影响力的矿业公司，在2000年收购了澳大利亚北方矿业公司，成为在勘探、开采和加工矿产资源方面的全球佼佼者，被称为铁矿石三巨头之一。
朝花夕拾,朝花夕拾,《朝花夕拾》原名《旧事重提》，是现代文学家鲁迅的散文集，收录鲁迅于1926年创作的10篇回忆性散文， 1928年由北京未名社出版，现编入《鲁迅全集》第2卷。此文集作为“回忆的记事”，多侧面地反映了作者鲁迅青少年时期的生活，形象地反映了他的性格和志趣的形成经过。前七篇反映他童年时代在绍兴的家庭和私塾中的生活情景，后三篇叙述他从家乡到南京，又到日本留学，然后回国教书的经历；揭露了半封建半殖民地社会种种丑恶的不合理现象，同时反映了有抱负的青年知识分子在旧中国茫茫黑夜中，不畏艰险，寻找光明的困难历程，以及抒发了作者对往日亲友、师长的怀念之情 。文集以记事为主，饱含着浓烈的抒情气息，往往又夹以议论，做到了抒情、叙事和议论融为一体，优美和谐，朴实感人。作品富有诗情画意，又不时穿插着幽默和讽喻；形象生动，格调明朗，有强烈的感染力 。
