Hodo,HODO,《HODO》是一款Android平台的应用。
GIRONDE,吉伦特省,吉伦特省（法文：Gironde）是法国阿基坦大区所辖的省份，滨大西洋。该省编号为33。
航海日志,航海日志,航海日志亦称“航行日志”。记载船舶在航行和停泊过程中主要情况的载体文件。由值班驾驶员按时登记。记载事项包括航向、航速、航位、气象、潮流、海面和航道情况、燃料消耗、旅客上下、货物装卸以及船舶在航行和停泊时所发生的重大事件等。航海日志是船舶日常工作的记录，检查船员值班责任的依据，也是处理海事时所必须引用、且能在法律上起作用的原始资料。
U/TI,U/TI,
开开,开开,开开，原名赵开智，职业是网络漫画师和酒吧歌手。 就读于泉州闽南理工学院，毕业后在厦门工作。2014年参加第三季中国好声音，演唱戴佩妮的《你要的爱》，出色的表现让四个导师都为他转身。 
东方骆驼,东方骆驼,东方骆驼制衣织造（中国）有限公司原身是创立于1986年的一家私营小作坊，从代加工到随着中国改革开放的潮流而转型为一家供应福建地区流行服饰的主要生产商。2000年正式注册东方骆驼商标，并引进国内外主流设计理念，于2003年上海市开设第一家专卖店，正试上演休闲服饰市场的新上海滩传奇故事，这是一场蓄谋已久的爆发，在中国内地打响以设计、生产、销售男女休闲装为主营业务的时装连锁品牌。
高哥,高哥,高哥是国内最早研制，生产，销售男士隐形增高皮鞋的股份制企业。1999年创立的高哥牌是行业的龙头品牌，高哥鞋已成为内增高皮鞋的代名词。
NORTHLAND,诺诗兰,NORTHLAND品牌由奥地利著名登山家GerwaltPichler于1973年在奥地利第二大城市格拉茨创立，从专注极限攀岩与登山的专业技术品牌发展为涵盖运动、城市休闲的户外全线先驱。通过40年的不断探索、积累和创新，NORTHLAND已在全球39个国家成功开店，成为国际知名户外品牌。2003年，NORTHLAND登陆中国。十年成长，NORTHLAND始终坚持以奥地利舒适自在的户外精神为品牌理念，并严守欧盟生产检测标准，保证产品的精致工艺与卓越品质。广泛应用独有的EXOTHERM&reg;“全天候舒适雷达”科技平台，给予消费者全天候的舒适体验和全方位的保护。与此同时，让消费者感受舒适的户外生活，畅享亲近自然的自由自在是NORTHLAND不变的追求。NORTHLAND品牌在户外运动服饰和装备市场上取得的不凡业绩离不开它的精英团队。NORTHLAND品牌的创立传递了创始人Mr.Gerwalt对生活的热爱和梦想。奥地利是户外文化发源圣地，登山和滑雪等运动是奥地利最具代表性和知名度的户外运动。NORTHLAND品牌创始人GerwaltPichler作为奥地利登山界元老级人物，从小与自然结缘的他，25岁时便已爬遍欧洲著名山道，并踏上了征服各大洲最高峰的路程。1973年，37岁的GerwaltPichler和他的登山队登上了海拔6962米的南美洲第一高峰——阿空加瓜峰。在下山途中，他们在山坳间遇到了一具遇难登山者的遗体。出于对生命的尊重，Pichler将遇难登山者的遗体带下山并送到其亲人身边。这件事为他赢得了“阿空加瓜英雄”的荣誉。
bpb,BPB,溴酚蓝（BPB），中文别名：四溴酚磺酞，英文名称：Bromophenolblue，浅黄色到棕黄色粉末；易溶于氢氧化钠溶液，溶于甲醇、乙醇和苯，微溶于水(约0.4g/100ml)；最大吸收波长422nm
狄亚诺,d.anuo,d.anuo（狄亚诺）诞生于19世纪的意大利，d.anuo已发展成为世界著名的品牌男装，d.anuo立足于欧洲，早年以制造皮具精品而闻名，现为都会男性打造独具品味之服饰、皮具、皮鞋等精品。秉承意大利原创理念及管理哲学，以精致的细节处理搭配简洁的设计，处处体现意大利品牌的不凡和男人的“智·远”气度。
诺丁山,诺丁山,《诺丁山》（NottingHill）是由罗杰·米歇尔执导，朱莉娅·罗伯茨、休·格兰特、瑞斯·伊凡斯、迪兰·莫兰、约翰·斯拉普内尔等联袂主演的爱情电影。影片于1999年5月21日在英国上映 。讲述一位到英国拍片的好莱坞大明星安娜，偶然跑到诺丁山的小书店买书，竟然跟个性腼腆的老板威廉擦出爱情火花，然而这段跨越地域和阶级的爱情能够躲过狗仔队的纠缠而获得美满结局。
乐扣乐扣,乐扣乐扣,乐扣乐扣是一个品牌，隶属于韩国乐扣企业，该企业是专门生产新概念密封容器的，现今正向全世界90多个国家出口产品。乐扣乐扣注册于1985年，从2004年7月开始进入中国市场。
静风格,静风格,作为国内中高端时尚饰品品牌，StyleJing/静风格是施华洛世奇®元素水晶和施华洛世奇锆石大中华区特约授权合作品牌，2011年夏，相继获得了韩国顶级饰品制造商纽昂斯（Nuance）和阿兹纳（Aznavour）的官方授权。
音米,音米,
轩妮娅,轩妮娅,轩妮娅（shuniye）是北京市凯茜贝隆工贸有限责任公司旗下的高档时尚女装品牌。通过时尚产业满足成功女性着装，并且满足女性多重生活形态的着装需求，展现成功女性的高贵与优雅。 
LOVE MOSCHINO,Love Moschino,
COCOBELLA,COCOBELLA,COCOBELLA是一个极具时尚前瞻性的高街品牌，以心理年龄25岁至35岁左右的时代新女性为目标客群。高效的设计团队以各大秀场成衣为基础，将最流行的元素、最考究的工艺以及最合理的价格进行了最完美的融合，为消费者打造最具国际流行趋势的时尚单品。Lifeisafashionshow，跨步向前，勇敢来场时尚探险！
温馨鸟,温馨鸟,
XDP,XDP,XMLDataPackage(XDP)是Adobe的一种基于XML的文件格式，文件名后缀为XDP，它是一种把PDF格式的文件内容封装在XML容器的机制。
梦依稀,梦依稀,《梦依稀》是连载在晋江文学城的小说，作者是梦依稀。
戈尔本,Gear Band,麦包包诞生于2007年9月，由意大利近百年历史的箱包家族集团VISCONTIDIFFUSIONESNC提供天使基金设立而成。麦包包致力于打造箱包快速时尚新模式，为中国的消费者提供高性价比的多品牌时尚箱包产品！麦包包具有4年的箱包行业经验，为顾客提供周全的售前和售后服务；拥有10多个自有品牌，30多个代理品牌，100多人的设计师团队，每天有30多个新款上架。在意大利水城威尼斯成立了“欧洲麦包包时尚研究中心”，力求产品处于时尚最前沿。并在浙江嘉兴自建箱包生产基地，完全实现研发到制造，再到用户间垂直消费。保证了一流的品位，可靠的品质，周全的服务。
三道岩,三道岩,三道岩风景区位于桐城市陶冲乡境内，面积约10平方公里，景区内峰峦叠嶂，飞瀑流泉，丹霞炫彩，烟岚腾霄，似一幅天然山水画卷。分下岩、中岩、上岩三层。下岩一帘瀑布从空投下，飞珠泻玉，其声数百米可闻；中岩怪石嶙峋，飞泉喷射，化出一道长虹；上岩从岩头跌落，形成数迭瀑布，似雪帘披垂，洒珠如玉。
派士,派士,派士（PULSE），注册于2000年，现在已在全世界数十个国家和地区享有商标专利，成为中国乐器驰名于全世界的先锋。派士（PULSE）的成名，并非偶然，而是因为与世界的众多知名品牌同出一厂的缘故。多年服务于STAGG，WUHAN等品派经历，让派士（PULSE）不论在铸锭、锻打、抛光、定音还是在管理，宣传，设计，服务上面都有了先天的优势。如果要追述其成功的主要原因，那就是站在巨人肩膀上的缘故。
卡梵蒂,卡梵蒂,1963年在意大利米兰创办首家皮革精品店，此后第二家也在罗马首都开业。同年的10月和12月，第三家和第四家旗舰店分别在佛罗伦萨和都灵开业。这个历史悠久的著名品牌被赋予了新的发展元素与活力，你肯定在时尚派对中名门贵妇、好莱坞明星的手上看过它。低调的高贵依然耀眼到灼目！2006年9月3日第十五届中国国际投资贸易洽淡会上，Gavadi商标所有人正式授权由中意合资企业佐蒂尼（中国）有限公司在中国地区永久使用该商标权力·意味着意大利经典品牌Gavadi的全球化格局迈出了崭新的一步·Gavadi迈出意大利，走向东方，除了保持原有的经典风格外，进一步根据东方女性消费者要求，开发具有艺术品味的女包产品，旨在为东方女性消费者提供最佳美丽方案·
PICARD,Picard,
Ray Ban,雷朋,雷朋英文叫Ray-Ban，Ray为眩光，Ban即阻挡，阻挡眩目之光芒便是太阳镜的本质。雷朋为美国空军生产出了有倾斜反光镜面的太阳镜，给使用者提供了最大的视力保护。其实长期以来，雷朋就是遮挡强光的太阳眼镜的代名词。雷朋太阳镜的诞生源于美国一位空军中尉的苦恼。1923年，这位中尉驾驶小型飞机横渡大西洋时，深深感到强烈日光带来的困扰，回到基地后，甚至有恶心、头痛、目眩的不良反应。基于此，在1930年博士伦公司研制出了能吸收最多的日光，发散最少的热能，保持良好清晰视力的雷朋太阳镜。雷朋太阳镜除了有良好的防护功能，设计者将其外形款式的设计更凸显粗犷英武的军人气质。
罗意威,Loewe,创立于1846年的西班牙百年皮具奢华品牌LOEWE罗意威在创意总监JonathanAnderson(J.W.Anderson)的无尽创意下，其精湛的手工艺、产品创新能力及无与伦比的皮革知识得到全新演绎的同时，融入了现代时尚及文化意识。 
佩瑟,佩瑟,
堡狮龙,堡狮龙,堡狮龙国际集团有限公司（在一九九三年於香港联合交易所有限公司上市）及其附属公司(「堡狮龙」)是区内具领导地位的服装品牌拥有人、零售商和特许经营商。堡狮龙总部设于香港，自一九八七年开设首间零售店铺以来，经过约二十年的迅速发展，已建立了一个庞大的全球性营运平台及分销网络，并成功将业务拓展至全球约三十个国家及地区，以中国香港、中国大陆、中国台湾、新加坡及马来西亚为五大核心市场
生活在左,生活在左,生活在左 （ALifeOnTheLeft） ，是广州市汇美服装有限公司茵曼集团旗下服装品牌，品牌创立于2014年。其产品多使用天然材质，擅长使用全棉、真丝、苎麻、等天然面料，产品工艺涵盖钩花，重绣，缎带绣等手工工艺。
奢芬,奢芬,奢芬，上海爱迦俪生物科技有限公司旗下面膜品牌，创建于2012年，以蛇毒寡肽黑金面膜为主打产品。 
黑柠檬,黑柠檬,《黑柠檬》是1990年2月时报文化出版的图书，作者是敖幼祥。本书是《乌龙院》的系列的漫本之一，讲述了杀手黑柠檬被卷入一场斗争中的故事。
evona,evona,
酸柠檬,酸柠檬,酸柠檬是一家餐馆名，在宁德市，特色服务是有下午茶，提供早餐，有送餐。
翠贝卡,翠贝卡,翠贝卡（Tribeca）品牌来源于美国纽约一条著名街区的名字，设计风格主要以办公室休闲为主，由香港诸多具有声望的多名设计师注入全新的设计理念，TRIBECA设计出纯净幽雅、品位个性相融的产品，运用国际著名时装的生产方式，取得著名纺织纤维原材料的直接供应，并开发出整体搭配系列产品。
麦丝玛拉,麦丝玛拉,麦丝玛拉，是一个意大利的服装品牌。麦丝玛拉(MaxMara)香水是同系列商品之一。
Member's Mark,Member's Mark,
美姬儿,美姬儿,美姬儿（MAGGIER）：一个致力于寻找大自然最绿色的优质护肤成分，给肌肤最天然的呵护的护肤新宠儿。美姬儿零辐射系列产品，主要为喜欢网购的时尚人群研发设计的；其产品特色是零负担、零辐射、青春时尚、动感个性，调护一体使用简单方便，产品品质优良、安全温和。
NQ,NQ,NQ是萘醌（naphthoquinone）的简称。一种醌。分子式C10H6O2。理论上有6种萘醌，其中只有1，4-、1，2-和2，6-三种可以稳定制得。
蒲公英,蒲公英,蒲公英（拉丁学名：TaraxacummongolicumHand.-Mazz.）菊科，蒲公英属多年生草本植物。根圆锥状，表面棕褐色，皱缩，叶边缘有时具波状齿或羽状深裂，基部渐狭成叶柄，叶柄及主脉常带红紫色，花葶上部紫红色，密被蛛丝状白色长柔毛；头状花序，总苞钟状，瘦果暗褐色，长冠毛白色，花果期4～10月。蒲公英别名黄花地丁、婆婆丁、华花郎等。菊科多年生草本植物。头状花序，种子上有白色冠毛结成的绒球，花开后随风飘到新的地方孕育新生命。
梦无缺,梦无缺,《梦无缺》是未央亦寒写的网络小说连载于晋江文学城。
九界,九界,九界，是佛学术语，名数，十界中，除佛界自菩萨界至地狱界之九界也。此九界，由佛界言之，悉为迷之境界也。
Stylenanda,stylenanda,Stylenanda是韩国一线网络服装品牌，其独特的造型，完美的搭配，优良的材质，流畅的裁剪，深受着韩国少女们的宠爱。Stylenanda成立于2004年。
JPN,JPN,《JPN》是日本女生电音三人组合Perfume的第四张专辑的名称。在2011年11月30号销售。
DEERE MARCHI,迪尔·马奇,迪尔马奇每年安排多次世界各地服装行业的考察与交流学习，引进国际领先CAD制作系统与技术，设立了功能齐全的商务中心并成功的推出了世界最新潮流同步T恤、夹克、风衣、羽绒服、大衣、西服、休闲裤、西裤、牛仔裤、皮具等产品，以成本低、品质优、交期准而获得众多品牌客户、银行、政府、社会的一致好评。
黛萍,黛萍,画眉的黛墨，均为化妆用品。引申为妆饰。用来化妆的用品。
OYEA,Oyea,
培罗蒙,培罗蒙,培罗蒙西服公司创建于1928年，半个多世纪以来，以西服、大衣为代表，凭藉技术精湛，选料新颖，风格独特而闻名中外。
添柏岚,添柏岚,Timberland（添柏岚）是全球领先的户外品牌，旗下有Timberland、TimberlandPRO、SmartWool、TimberlandBootCompany及Howies®等品牌，通过提供高质量、讲究细节的工艺制品，来满足不同户外环境下的需求。添柏岚的产品透过北美洲、欧洲、亚洲、拉丁美洲、南非及中东的百货公司、专卖店和Timberland直营店营销全球。添柏岚在承诺对股东，雇员和消费者利益和责任的同时，做到对自然环境负责。Timberland（添柏岚）Timberland添柏岚是全球领先的户外品牌，对每一个真正热爱户外的人而言，添柏岚是一个真实可靠、可持续发展的户外品牌，通过提供创新的，经过户外考验的，外观漂亮而且经久耐用的装备，让你得到最丰富的户外体验。这家成立于1918年的美国波士顿的公司创业初期是一家专业制鞋公司。1952年，公司的创立者NathanSwarts收购了Abington鞋业公司50%的股份，1955年，Nathan买下其余的股份，由其第二代接管公司，并在以后的10年成长为全美最成功鞋业公司。1973年，Swartz家族建立了Timberland品牌70年代，他们采取独特的制鞋技术，生产出世界上第一双鞋底和鞋面无需缝线的鞋，鞋底和鞋帮的完全铸合，造就了真正意义上的防水鞋。
Galadriel,凯兰崔尔,凯兰崔尔，小说和电影《精灵宝钻》、《指环王》、《霍比特人》等相关作品中的重要角色。《指环王》其实是《精灵宝钻》中的一小段扩写而成，而凯兰崔尔就是整部《精灵宝钻》故事之滥觞。电影中的饰演者是凯特·布兰切特。黄金森林罗丝萝瑞安的统治者凯兰崔尔是第三纪时中土最强大的精灵，也是诺多的公主。她曾经是反抗主神、离开阿门洲的诺多精灵的领袖之一，也是他们中留在中土的最后一人。她以不可方物的美貌、强大的力量和无穷的智慧扬名，同时也有一些傲慢任性。面临至尊魔戒的时候，凯兰崔尔抵抗了它和权力的诱惑，最终选择渡海西去，前往维林诺。
沃蒙,沃蒙,沃蒙(We)集团，全球最大的网络安全主动防御服务商
夏陌,夏陌,
卿言,卿言,《卿言》是一本言情小说，作者秋杭。
火山星,火山星,火山星，网络游戏赛尔号中帕诺星系第三颗行星，十分炎热。
APFS,APFS,APFS是AppleFileSystem的简称，是苹果公司发布的新的文件格式，替代目前所使用的HFS+格式。该系统的核心为加密功能，其将为苹果旗下的每款设备提供统一的加密方法。该系统包含有多密钥加密功能，内置有针对每个文件的密钥，其针对敏感元数据也都有独立的密钥。
梓园,梓园,
范德安,范德安,范德安范德安，1941年生于北京。现为石景山区书协主席、中国书法家协会会员。其书法融汇真、草、隶、篆、行诸体，兼攻篆刻。《五体名言集》是他继出版《柳体楷书古诗规范字帖》、《隶书古诗字帖》之后的又一部力作。
莱克斯顿,莱克斯顿,LAXDN是LAXDN家族于1986年创立了男装品牌，它沿承了拉丁文“LAXUS”的优雅、华丽的意思，象征着教皇的授带。
玫提斯,玫提斯,METIS玫提斯时尚情侣装，成立于2008年，总部在中国杭州，主创团队都是80后。METIS是以时尚为基调的品牌。
BMW,宝马,宝马(BMW)是享誉世界的豪华汽车品牌。宝马的车系有1、2、3、4、5、6、7、i、X、Z等几个系列，还有在各系基础上进行改进的M系（宝马官方的高性能改装部门）。宝马公司创建于1916年，总部设在德国巴伐利亚州慕尼黑。BMW的蓝白标志宝马总部所在地巴伐利亚州州旗的颜色。百年来，宝马汽车由最初的一家飞机引擎生产厂发展成为以高级轿车为主导，并生产享誉全球的飞机引擎、越野车和摩托车的企业集团，名列世界汽车公司前列。宝马也被译为“巴依尔”。2016年3月7日，宝马与百度正在首页开启史无前例的互动，共同向网友发出邀请，见证宝马100年以来的驾驶乐趣。 12月5日消息，宝马2017将在德国慕尼黑进行无人驾驶汽车测试。 2017年4月，全新一代宝马5系长轴版全球首发。 
GRASSRUMER,Grassrumer,
GGG,ggg,ggg为一英文缩写，有多种含义，主要义项包括：GreatGlobalGrid、Gif·gIf·giF、人造钆镓榴石等的英文缩写。
奥利芬特,奥利芬特,马克·奥利芬特（MarkOliphant，也译作：马克·欧立峰，1901年10月——2000年7月），澳大利亚核物理和雷达科学家、慈善家、爵士。博士毕业于剑桥大学卡文迪许实验室，导师为卢瑟福（ErnestRutherford，核物理学之父）。奥利芬特实施了世界上第一次人工核聚变实验，他是氚（T）和氦3（3He）的发现者，后来成为澳大利亚科学院（AAS）创院院长和澳大利亚国立大学（AustralianNationalUniversity，ANU）物理工程研究院（ResearchSchoolofPhysicsandEngineering，RSPE）创院院长，并在美国研制核武器的曼哈顿工程中做出了重要贡献。
海纳,海纳,海纳，男，德国人，出生于1961年10月3日，是一名足球运动员。
亚热带,亚热带,亚热带（Subtropics），又称为副热带，是地球上的一种气候地带。一般亚热带位于温带靠近热带的地区（大致23.5°N-40°N、23.5°S-40°S附近）。亚热带的气候特点是其夏季与热带相似，但冬季明显比热带冷。最冷月均温在0摄氏度以上。
DECOSTER,decoster,DECOSTER，中文名“德诗”，始创于2000年，是上海世一实业有限公司旗下的设计师品牌。
羚羊早安,羚羊早安,羚羊早安，中国互联网围巾品牌。广袤的非洲草原上，每当太阳从地平线升起，羚羊便开始一天的奔跑。羚羊，敏捷执着的精灵，不论面对陡峭山崖，或是狮子追逐，都只保持单纯的执着，勇敢的向前奔跑。羚羊早安，也如同草原的羚羊一般，每天清晨，向太阳问声早安，奔行不息。羚羊早安诞生于2008年8月，品牌专注于羊毛、羊绒围巾、真丝丝巾领域。我们相信，围巾，不止是温暖的基本需求，更是抵御乏味、体现个人品位与生活态度的产物。给每一条围巾赋予一个灵魂，自此她便有了生命。丝缕缠绕、纹路纵横，她的故事也在纹理间轻声诉说。寻找一个相似的生命，相辅相成、相濡以沫。羚羊早安，美丽不平庸。
出走,精武战士,《精武战士》是由Pt.MerantauFilms公司推出的一部动作类型影片，该片由加雷斯·埃文斯执导，伊科·乌艾斯、希斯卡·杰西卡主演。影片主要讲述了尤达背井离乡，想在雅加达这个繁华但是肮脏的大城市里打拼出自己的一片天下的故事。 
ANNE KLEIN,ANNE KLEIN,ANNEKLEIN被认为是“美国时尚风格”的代表品牌之一。以运动休闲服起家
CUBIC,cubic,英adj.立方体的；立方的
我乐,我乐,我乐，高圆圆代言品牌。专注于构筑健康时尚的家居生活，全面引进德国IMA全自动生产线，“E0”级环保、欧洲优质五金，将欧洲设计和德国工艺结合。 
Moncler,Moncler,盟可睐 （Moncler）名字就来自于MonestierdeClermont的缩写。是一家总部位于法国格勒诺布尔专门从事生产户外运动装备的著名品牌。Moncler品牌名来自于小镇MonestierdeClermont的缩写。Moncler的故事开始于第二次世界大战期间，品牌具有传奇历史，时至今日，Moncler在户外羽绒服业界中，成为首屈一指的国际顶尖品牌。Moncler的品牌Logo是M字母与一只公鸡的组合。Moncler品牌下面分：“MonclerGammeRouge”和“MonclerGammeBleu”两个秀场品牌，“MonclerGammeRouge”是女装秀场品牌，创意总监为GiambattistaValli，在巴黎时装周上举办展示；“MonclerGammeBleu”是男装秀场品牌，在米兰男装周上举办展示。 
BRM,BRM,BRM——Bridgeresourcesmanagement，船舶驾驶台资源管理的意思。BRM是国际海事组织STCW规则里的一个非强制培训项目。船舶驾驶人员、船务公司机关领导、海事管理机构领导、船舶引航员等人员一般都需要参加此项培训。BRM的主要内容是讲导致海事事故发生的人的因素有那些。学好BRM的理论，可以有效预防海事事故的发生。
蝶恋,蝶恋,《蝶恋》，著名游戏配乐，是中文RPG《仙剑奇侠传》初代的12首主题曲之一，旋律与《来世再续未了缘》相似，两首均为彩依及林月如两位角色牺牲时的剧情音乐。作为《仙剑》系列传统名曲，《蝶恋》在后续作品中曾多次被重新编曲，不断用作各代的剧情音乐，充分肯定了这一首配乐的经典地位。此外，网络上不少玩家也曾对之进行改编、填词并演唱，比较著名的如支丫冰、墨明棋妙等。
简印,简印,简印是一款智能化的照片书、台历、照片卡制作应用。采用照片讲故事的模式，通过智能算法对照片的拍摄时间、地点、天气等进行分析，实现智能化的排版。用户只需从相簿选择照片，即可一键成册。 
野外基地,野外基地,野外基地是福建省国鼎投资管理有限公司注册的商标名，主要有服装、裤子、领带、帽、手套(服装)、童装、袜、鞋、婴儿全套衣游泳衣等产品。 
雪俐,雪俐,雪俐（shirley）的创始人为了使其服饰王国走向多元化，在2000年创建了自己的公司并推出了一系列各具特色的产品：文胸、睡衣、家居服、束身衣、泳衣、保暖衣。“雪俐”将欧洲内衣家居服的飘逸与动感演绎得淋漓尽致，很多款式和系列的灵感均来自自然素材。以前卫、时尚、休闲、健康的理念诠释了不同文化和生活方式的时代气息。
古辛,古辛,古辛，乌克兰国家队的功勋老将，经验丰富，大局观强，是前场进攻的主要发起者。曾效力球队：萨马拉苏维埃之翼足球俱乐部，希姆基足球俱乐部，拉缅斯科耶土星足球俱乐部，基辅迪纳摩足球俱乐部，基辅兵工厂足球俱乐部，利沃夫足球俱乐部，伊热夫斯克油气工人足球俱乐部。
秀秀梦姑,秀秀梦姑,秀秀梦姑主要通过电子商务平台方式在进行运作。展中国大陆市场，主要通过电子商务平台方式在大陆进行运作。
春漫里,春漫里,春漫里坐落于万科良渚文化村的小镇中央，拥有良渚文化村的纯正山水感受，集成了会所、商业街区、小广场、精装修酒店式服务私邸以及幼儿园等富有趣味的多样化空间，是一个兼具公共乐趣与私属情致的地方。组团内建筑围合形成各具风格的庭院，构筑尺度宜人的街道空间。
达丽坊,达丽坊,达丽坊（DL.FANG），以“时尚、简约、个性”为主题的欧美原创女装品牌。专注小而美，专注小众市场，崇尚极致简约，用黑白灰三色，缔造自己的特色王国。凭借敏锐的时尚嗅觉、前沿的原创设计，独树一帜的作风，短短几年内实现华丽转身，在电商平台异军突起，深受都市时尚女士的追捧。 
美人谋,美人谋,《美人谋美人谋》是2009年朝华出版社出版的图书，作者是Ray。《美人谋》，由作家Ray编写的言情小说。刀光剑影，血海深仇，爱情不合时宜地绽放光彩，谁能丈量爱恨之间的距离？
高尔普,高尔普,高尔普服饰有限公司成立于1989年，是国内经营休闲装著名的企业之一。以生产、经营高级时尚休闲男装为主的大型服饰企业，以其规模的制造能力，前瞻的设计能力，精湛的工艺能力及严格的品质控制能力，缔造着一个走向世界的高级休闲服装品牌。
旅行家,旅行家,旅行家是指以各地旅行为职业，通过旅行获得劳动报酬与旅费的旅行者，职业旅行者的行为大多是完成自己的梦想或者为宣扬某种生活态度，而不是单纯的进行旅游休闲活动。通过旅行发现自我，认识世界，感受世间百态，对自然充满热爱，在旅行中思考自己的生活和理想的意义的人，通过旅行进而提高自我，怡情养性，增广见闻有职业和非职业之分。
HOLLY,holly,冬青树是国家重点保护植物；庭院绿篱--冬青冬青枝叶茂密，树形整齐，历来作为城乡绿化和庭院观赏植物。
TereTereba,Teretereba,Teretereba为玉石玉器品牌专卖店。广州市存福商贸有限公司主要从事批发及零售，网上批发及零售，是一家集设计、生产、销售为一体的专业品牌商贸企业。
ELLASSAY,歌力思,作为中国高级时装知名品牌，ELLASSAY（歌力思）一直以打造国际一线女装品牌为目标。歌力思的服装拥有纤秀的轮廓造型，考究的细部处理，柔和的色彩搭配和特殊的进口面料，永恒演绎着现代都市女性典雅含蓄、温柔婉约的独特个性。
芊雨叶,芊雨叶,芊雨叶是一家位于大连市的餐厅。
搜哥,搜哥,搜哥（Sooogle）于2010年1月28日正式上线，致力于向广大网友提供快乐方便的搜索引擎平台，提供多种著名搜索引擎一起搜的综合服务。搜哥以谷歌和搜狗百度必应综合一起搜哥现正在打造"搜哥"财经导航，推广，商城，互联等相关服务，信搜哥充自信。
冒险王,冒险王,《冒险王》是由程小东执导，李连杰、关之琳、金城武、杨采妮等主演的一部奇幻冒险动作片。影片讲述了一个在生活中遇到许多问题的作家，在一系列的冒险故事中寻找另一个自我的故事。 该片于1996年3月14日在香港上映。
天尊,拉希德·华莱士,拉希德·华莱士（RasheedWallace），1974年9月17日出生于美国宾夕法尼亚州费城，前美国职业篮球运动员，司职大前锋、中锋。拉希德·华莱士在1995年NBA选秀大会中第一轮第4位被华盛顿子弹队选中。先后效力于华盛顿子弹队、波特兰开拓者队、亚特兰大老鹰队、底特律活塞队、波士顿凯尔特人队和纽约尼克斯队。 2004年，率领活塞获得NBA总冠军 。2010年6月25日，拉希德·华莱士宣布退役，结束15年的NBA生涯 。2012年10月1日，纽约尼克斯队宣布1年170万美元签下拉希德·华莱士，华莱士正式复出。2013年4月18日，拉希德·华莱士再次宣布退役。
SASH,SASH,1996年，德国的一名DJ:SaschaLappessen找了另一名同乡DJThomasAlisson和乐师RalfKappmeier以SASH!之名开始舞曲创作·SASH!的乐风主要是以ProgressiveHouse为主，这类House通常较注重乐曲的编排和旋律的进行有些"演奏类"的样子，他们也有少数的Breakbeat作品·SASH!的舞曲可说融入了相当多的流行元素，他们的音乐不只是舞曲，更是流行音乐，不像AphexTwin那样另类，SASH!是相当有亲和力的·
红蜻蜓,红蜻蜓,红蜻蜓自1995年创立以来，以其时尚的外形，亲民的价格，贴心的服务，得到了广大消费者的认可及追捧。红蜻蜓表示，未来若皮鞋行业的终端市场竞争进一步加剧，红蜻蜓不能进一步提高市场占有率，将对本公司品牌提升和业绩增长等产生不利影响2012-2014年，红蜻蜓主营业务收入分别为30.4亿元、31.9亿元和30.9亿元，同比增幅分别为4.85%
昨夜星辰,昨夜星辰,《昨夜星辰》是陈清宇执导的言情剧集，由寇世勋、沈时华、张咏咏、张佩华等人主演。该剧讲述了自小在都市长大的邱素云和哥哥邱伟隆陪患病的父亲回乡下老宅后引来的一场缠绵悱恻、剪不断理还乱的感情。
艾法利,艾法利,艾法利（Alfieri&St.John）——充满时尚气息的男装品牌，始创于1885年。艾法利（ALFIERI），系高端精品商务男装品牌。以脱俗的设计显露出艺术的灵性，精致的做工展现出纯熟精湛的工艺，如同追求理想的艺术，ALFIERI以大师级的工艺，重视每一件完美经典的服饰品，皆化作创作的新起点。 
左岸,左岸,“左岸”(LaRiveGauche)是地理上的一个区域的泛称，位于塞纳河左岸的圣日耳曼大街、蒙巴纳斯大街和圣米歇尔大街，一个集中了咖啡馆、书店、画廊、美术馆、博物馆的文化圣地。塞纳河由东向西成几字形穿越了巴黎，而巴黎城则是从塞纳河中央的西岱岛发展而来，左岸，孕育了巴黎。
出韵,出韵,出韵，读音chūyùn，汉语词汇，释义为落韵、窜韵、走韵，是指在律诗偶句韵脚上不用本韵之字，而用邻韵或它韵中的字，出韵与格律诗一韵到底的要求不合，是诗家大忌。
茵芭兰,茵芭兰,茵芭兰，韩国品牌ENPRANI，是使用英文的EN(使成为)和印度语的PRANI(生命体有机体)的合成语有使皮肤重新获得生命的意义。随着时光的逝去，女性肌肤往往失去往日神采，如果置之不理，将会导致日后无法恢复。但是只要能够准确诊断出肌肤内深层处无声息的变化，针对性地进行正确护理，就能够保持20岁年轻肌肤.ENPRANI为此而不懈努力茵芭兰产品采用专利技术纳米60，人的细胞间隙是70，有效成分刚好迅速渗透到真皮层，使肌肤恢复往日神采。 
S.DEER,s.deer,S·DEER品牌建立至今二十年，坚持以品质修炼自身，将高雅的艺术态度贯穿于设计上，更渗透在企业管理中。在如今高速发展的商业节奏、变化万千的时尚潮流里，始终执着于自己最本初的信念。坚持不仅要做产品的供应商，更要做文化的传播者。创始Origin
KANEBO,佳丽宝,佳丽宝(Kanebo)是来自日本东京的著名化妆品品牌。佳丽宝(Kanebo)品牌创立至今已有百余年之久，涉足化妆品也有60多年，在世界化妆品行业内始终处于重要地位，享有盛誉。
特宝儿,特宝儿,
格里森,格里森,格里森，电影名称，本片导演是DorteH&oslash;eg·本片获得2009年第81届奥斯卡最佳真人短片提名。
